gene_id,lfc_10cGy,padj_10cGy,deg_10cGy,dir_10cGy,lfc_100cGy,padj_100cGy,deg_100cGy,dir_100cGy,dose_category
AT1G02660,0.468718546811115,0.0343034620685247,no,none,0.500541063164563,0.0257541696693215,no,none,neither
AT1G02670,-0.0232398165169252,0.942552651953274,no,none,-0.101045778159138,0.738806189150185,no,none,neither
AT1G02680,-0.0318174266486222,0.753841622096162,no,none,-0.0176317938005292,0.880213363250878,no,none,neither
AT1G02690,-0.230151079411923,0.000851009964695283,no,none,-0.241522806786713,0.000512458673547316,no,none,neither
AT1G02700,-0.520314596024503,0.0365110908698325,no,none,-0.358458892979751,0.178039340603429,no,none,neither
AT1G02705,-0.524764786054934,0.125963544006402,no,none,-0.307581724748453,0.427434117238493,no,none,neither
AT1G02710,-1.2912195195837,,no,none,-1.28724458946657,0.0550826669720524,no,none,neither
AT1G02720,-0.039254191083654,0.674065562761796,no,none,-0.0545138686624316,0.558649662311836,no,none,neither
AT1G02730,-0.199113518726665,0.0180139422585454,no,none,-0.227683167621703,0.00726528486193802,no,none,neither
AT1G02740,0.0152294775848853,0.904785342822094,no,none,0.0769654371927767,0.472625130552406,no,none,neither
AT1G02750,-0.0578939215824582,0.526852960547077,no,none,-0.0156354686562983,0.894847185760086,no,none,neither
AT1G02770,0.384907913456972,0.21834681820943,no,none,0.379285049994759,0.243721699168775,no,none,neither
AT1G02780,-0.177789138555639,0.00165838092146529,no,none,-0.151946018994687,0.00930547777783618,no,none,neither
AT1G02800,-0.225802617880731,0.175630109030663,no,none,-0.263282659712568,0.115078654305061,no,none,neither
AT1G02810,-0.193406097897047,0.512788218654615,no,none,0.0809258318790259,0.817276522483355,no,none,neither
AT1G02816,0.00125549081394396,0.993053805752767,no,none,-0.0536833838318965,0.688105334949812,no,none,neither
AT1G02820,-0.312188037666842,0.000826463998449474,no,none,-0.269901609608791,0.00470370955819021,no,none,neither
AT1G02830,-0.330428329169654,,no,none,-0.238830499928343,,no,none,neither
AT1G02840,-0.0349103424636255,0.555875732952199,no,none,-0.0326859683356348,0.613632464822166,no,none,neither
AT1G02850,0.281684425846669,0.522161143702142,no,none,0.493282436700254,0.229984537914563,no,none,neither
AT1G02860,0.324512462071548,0.00187392137562368,no,none,0.388425323840484,0.000227988062272137,no,none,neither
AT1G02870,-0.121050711351375,0.222557516381446,no,none,-0.136214071627433,0.175893393010627,no,none,neither
AT1G02880,0.0982705848554468,0.335885837257273,no,none,0.0875497959940073,0.42779871252301,no,none,neither
AT1G02890,0.176312147054698,0.00232413895102449,no,none,0.0872286363232911,0.182251031262069,no,none,neither
AT1G02900,0.317253896869401,0.152797397858054,no,none,0.343658253885298,0.124721947609448,no,none,neither
AT1G02910,-0.0552831781090106,0.150089957393226,no,none,-0.093800745732302,0.0103040393893503,no,none,neither
AT1G02920,0.450428269544832,0.238735539861561,no,none,0.449789968531244,0.259454088951816,no,none,neither
AT1G02930,0.895108261767585,0.00161326401804588,no,none,0.509083991596338,0.0999656957506174,no,none,neither
AT1G02940,0.730665064966313,,no,none,0.478335441172617,0.381699646546262,no,none,neither
AT1G02950,-0.00785590968468515,0.969497210663721,no,none,0.0665928739917282,0.730329066173953,no,none,neither
AT1G02960,0.128204798924033,0.0384193089264464,no,none,0.0528976040769204,0.488614680351173,no,none,neither
AT1G02970,-0.298266786185198,0.0189352816410731,no,none,-0.138114342916467,0.351927257734064,no,none,neither
AT1G02990,0.182434481897566,0.000672676011935674,no,none,0.145070259898989,0.00882104184981261,no,none,neither
AT1G03000,-0.0387326403108616,0.539464117998307,no,none,-0.0499958301563194,0.433033197801431,no,none,neither
AT1G03010,-0.171577468334444,0.664787302925966,no,none,0.312536228930266,0.380261398460895,no,none,neither
AT1G03020,-0.0887654499610497,0.66623732358595,no,none,0.0412441392541952,0.864238430168313,no,none,neither
AT1G03030,0.149586014783113,0.00836530657068881,no,none,0.12280644434897,0.0385226399606531,no,none,neither
AT1G03040,-0.015922374538444,0.779399622583204,no,none,-0.0271028279202815,0.62944435473086,no,none,neither
AT1G03050,0.916843401906143,,no,none,1.34106163097969,,no,none,neither
AT1G03055,-0.0530679764247001,0.558035587904483,no,none,-0.0960265243869757,0.256760048045554,no,none,neither
AT1G03060,-0.00671712525679639,0.939784226909794,no,none,-0.0282923038592863,0.736858940359426,no,none,neither
