gene_id,baseMean_old,log2FC_old,padj_old,deg_flag_old,baseMean_new,log2FC_new,padj_new,deg_flag_new,status,direction_change
AT1G14700,325.9409229,-0.1861121,0.144056044,no,265.961176682341,-0.183172620424875,0.158291238935958,no,both_non_DEG,
AT1G14710,1448.801923,0.220230111,6.05e-06,yes,1185.77196870291,0.223698280727196,4.93809382261221e-06,no,lost_DEG,
AT1G14720,1015.906174,0.674127943,9.85e-08,yes,831.490952631724,0.679152378667263,9.02395942365815e-08,no,lost_DEG,
AT1G14730,92.64771146,-0.139080797,0.071169093,no,75.0909733454488,-0.12647228464352,0.109369795096843,no,both_non_DEG,
AT1G14740,1009.018784,0.322141022,0.010869229,yes,825.316971408431,0.328385473845104,0.00942414826466982,no,lost_DEG,
AT1G14750,23.02783762,-0.45133589,0.011556871,yes,18.0115979627076,-0.452362470375985,0.0202419375700665,no,lost_DEG,
AT1G14760,7.300513841,-0.400391085,0.075422662,no,5.18934581875757,-0.472516317757301,0.0696081504720693,no,both_non_DEG,
AT1G14770,100.2665893,0.013393096,0.878013261,no,81.2570644627561,0.0195770843762227,0.821661430488962,no,both_non_DEG,
AT1G14780,74.34630851,0.252717401,0.0579831,no,60.58187383776,0.265982612170256,0.0491176630777272,no,both_non_DEG,
AT1G14790,80.54239442,0.623955516,5.83e-07,yes,65.2566864464902,0.63331311503741,5.60083430607357e-07,no,lost_DEG,
AT1G14800,2.174505906,-0.388971748,0.312428811,no,0.974349925244398,-0.478504361657542,0.560474392955932,no,both_non_DEG,
AT1G14810,2035.833906,-0.107236483,0.02655782,yes,1666.12295419421,-0.103456744351384,0.0335306965538601,no,lost_DEG,
AT1G14820,248.5763475,0.059750357,0.289409681,no,202.727163302084,0.0598217092544262,0.300796797336791,no,both_non_DEG,
AT1G14830,1251.768079,-0.102454794,0.003047431,yes,1023.9061023446,-0.0982152800826015,0.00438371270001411,no,lost_DEG,
AT1G14840,441.9369119,-0.098418514,0.125227733,no,361.048659687723,-0.0967384414349523,0.135482139474202,no,both_non_DEG,
AT1G14850,742.7594053,-0.047669116,0.478443616,no,607.300167605617,-0.0442165671904452,0.522395116180951,no,both_non_DEG,
AT1G14860,160.6536536,-0.139826196,0.479599928,no,130.660380009069,-0.131198318359424,0.522961641185684,no,both_non_DEG,
AT1G14870,898.4412235,0.540854997,0.000337103,yes,735.128600050671,0.547333545261481,0.000285324109002207,no,lost_DEG,
AT1G14880,30.17679994,0.895040042,0.055741071,no,24.1092185167546,1.09170675066244,0.0639254637579554,no,both_non_DEG,
AT1G14890,133.138294,0.057921634,0.689217985,no,108.238126065922,0.0663689800075611,0.646118986037858,no,both_non_DEG,
AT1G14900,639.5523762,-0.442417414,7.9e-07,yes,522.744072783943,-0.439012558944187,1.00004076456704e-06,no,lost_DEG,
AT1G14910,470.3554597,0.035228675,0.616572974,no,384.262771090537,0.0425747601186158,0.526729480272666,no,both_non_DEG,
AT1G14920,496.5454267,-0.350068528,5.56e-06,yes,405.675233312574,-0.345456312451615,7.6932662663622e-06,no,lost_DEG,
AT1G14930,1.978801371,-0.36098562,0.37320456,no,0.8095059500727,-0.388334855039406,0.627962180084154,no,both_non_DEG,
AT1G14950,,,,,0.681837387154093,0.84494982258555,0.440903490731479,no,,
AT1G14960,199.9623801,-0.159405822,0.301909049,no,162.905621031969,-0.156547416369358,0.322287029354559,no,both_non_DEG,
AT1G14970,122.5438067,0.236755754,0.02163588,yes,99.5157782357156,0.249463938762659,0.0153864198028449,no,lost_DEG,
AT1G14980,1371.266317,-0.15391217,0.018423537,yes,1122.00569752316,-0.150159494033874,0.0221350054757824,no,lost_DEG,
AT1G14990,124.1542189,0.115203975,0.083995971,no,100.859114831015,0.113054851580039,0.101560590586872,no,both_non_DEG,
AT1G15000,180.6419997,-0.255690587,0.014877509,yes,147.629350327008,-0.256398700001269,0.0151074717127341,no,lost_DEG,
AT1G15002,54.708682,-0.31223314,0.15285408,no,44.5346416775354,-0.311009192367552,0.147713277422295,no,both_non_DEG,
AT1G15010,12.19272599,1.507136671,9.12e-05,yes,9.24556190760152,1.71499820920077,0.000114074889505151,yes,both_DEG,same_direction
AT1G15020,252.7814635,0.036703636,0.692390401,no,206.168911909598,0.0456080465424189,0.614203762477884,no,both_non_DEG,
AT1G15030,424.8973821,0.020191693,0.680376004,no,347.633007059912,0.0265755838852173,0.571383928540545,no,both_non_DEG,
AT1G15040,194.5085729,-0.0740877,0.921019975,no,158.532444312477,-0.0666042413581892,0.931282548178406,no,both_non_DEG,
AT1G15050,3.090913707,-0.270615893,0.457094814,no,1.754059941014,-0.160628725561665,0.793932602502287,no,both_non_DEG,
AT1G15060,381.0755642,0.117153056,0.021284423,yes,311.304940545348,0.120294693097323,0.0192058468365287,no,lost_DEG,
AT1G15080,65.6621287,-0.024977233,0.830870276,no,52.9928744750471,-0.030336868140936,0.797310418110736,no,both_non_DEG,
AT1G15085,,,,,0.226625166132347,0.233287317683344,,no,,
AT1G15090,,,,,0.156073469581786,-0.037218858206167,,no,,
AT1G15100,375.816193,-0.009305638,0.97413716,no,307.024189175375,-0.00650761696893036,0.983049273793629,no,both_non_DEG,
AT1G15110,159.041288,-0.045162023,0.500051756,no,129.372679062894,-0.0398351730264232,0.570366667013139,no,both_non_DEG,
AT1G15120,1110.777849,-0.023551085,0.644182199,no,908.851342014483,-0.018535042491804,0.733949918294154,no,both_non_DEG,
AT1G15125,214.8870323,0.216357025,0.656291712,no,175.151077651132,0.225289451786716,0.651086199104586,no,both_non_DEG,
AT1G15130,877.9381396,0.140562323,0.030227412,yes,717.992974824743,0.145733986358889,0.0230653937664542,no,lost_DEG,
AT1G15140,1622.75234,-0.134169534,0.002433417,yes,1327.62542992054,-0.130527549732806,0.00347952603600417,no,lost_DEG,
AT1G15150,9.846462072,-0.331009339,0.281694037,no,7.44748814051078,-0.355712602489017,0.327211718229753,no,both_non_DEG,
AT1G15160,44.13585019,-0.040216877,0.806774082,no,35.7774857752199,-0.0500897435632669,0.761139458560783,no,both_non_DEG,
AT1G15165,44.32494718,-0.164144706,0.257461037,no,35.4599881561184,-0.177230913786038,0.2231007592974,no,both_non_DEG,
AT1G15170,243.3954104,0.18046727,0.008701672,yes,199.019876182328,0.186258238477811,0.00718281095675688,no,lost_DEG,
AT1G15175,28.61919127,-0.142632979,0.601550976,no,23.1119263229537,-0.123121741394724,0.665673099008017,no,both_non_DEG,
AT1G15180,382.4946752,-0.229586207,0.01429163,yes,312.697299340203,-0.217148467119279,0.0170732993981233,no,lost_DEG,
AT1G15190,13.72168357,1.26557229,6.41e-07,yes,10.4274118713971,1.36307887978301,1.84833672140911e-06,yes,both_DEG,same_direction
AT1G15200,757.1558852,-0.014679887,0.749813593,no,619.246519777651,-0.0102955138515529,0.83074299117411,no,both_non_DEG,
AT1G15210,858.3678157,-0.203479975,0.0174003,yes,702.26618520555,-0.199191829932901,0.0199305106325728,no,lost_DEG,
AT1G15215,68.57200139,0.050618469,0.563591387,no,55.3404242862518,0.061064673897077,0.498084952920476,no,both_non_DEG,
AT1G15220,76.64511913,0.017607856,0.876383147,no,61.9189909196947,0.0395162737451149,0.700330125344775,no,both_non_DEG,
AT1G15230,232.1380134,0.212074941,0.004616264,yes,189.342617420966,0.220049653970293,0.0033940388560229,no,lost_DEG,
AT1G15240,436.3841357,0.074269582,0.209486117,no,356.454248677535,0.0820143663485419,0.150835032643951,no,both_non_DEG,
AT1G15250,238.2506753,0.064333782,0.51927309,no,194.284122783691,0.0656100725903048,0.518825135345275,no,both_non_DEG,
