,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT5G11140,7.703586914,2.080078156,0.338344848,6.147805026,7.86E-10,3.54E-08,yes
AT2G30140,330.8335407,0.735239124,0.119661276,6.144336302,8.03E-10,3.60E-08,yes
AT3G14540,56.21176623,-0.730809585,0.118945346,-6.144078835,8.04E-10,3.60E-08,yes
AT2G39210,296.1918256,0.795627248,0.129512683,6.143238104,8.09E-10,3.62E-08,yes
AT1G20310,6.973020469,2.089134684,0.340188757,6.141104429,8.19E-10,3.64E-08,yes
AT3G46090,47.66347964,3.103114777,0.505263114,6.141581869,8.17E-10,3.64E-08,yes
AT4G37900,79.5035699,0.599823631,0.097669063,6.141388176,8.18E-10,3.64E-08,yes
AT5G25590,389.9686136,-0.331764614,0.054020429,-6.141465701,8.18E-10,3.64E-08,yes
AT3G46600,704.1286859,1.135751763,0.185057316,6.137297291,8.39E-10,3.72E-08,yes
AT1G64065,26.15810913,1.614714852,0.263131904,6.136522516,8.43E-10,3.73E-08,yes
AT3G49120,1733.460478,0.433234496,0.070645885,6.132480256,8.65E-10,3.82E-08,yes
AT1G22510,114.778679,0.691108639,0.112756718,6.129201455,8.83E-10,3.89E-08,yes
AT1G62640,822.1243137,-0.223809662,0.036520283,-6.128365999,8.88E-10,3.89E-08,yes
AT1G79610,235.6260561,0.768510888,0.125396294,6.128657081,8.86E-10,3.89E-08,yes
AT4G23470,1138.407322,0.357013309,0.058256415,6.128308943,8.88E-10,3.89E-08,yes
AT2G02230,153.1214863,0.361780461,0.059051113,6.126564625,8.98E-10,3.93E-08,yes
AT1G27770,1220.165622,1.046748802,0.171070963,6.118798793,9.43E-10,4.12E-08,yes
AT2G30750,42.94874965,2.165078462,0.353997123,6.116090557,9.59E-10,4.18E-08,yes
AT1G61360,187.3567479,0.667452983,0.109280296,6.107715735,1.01E-09,4.40E-08,yes
AT1G71400,253.5294759,0.599578522,0.098174965,6.107244584,1.01E-09,4.40E-08,yes
AT5G24210,266.4293851,1.143787938,0.187298925,6.106751215,1.02E-09,4.41E-08,yes
AT3G46620,437.0548076,0.824953883,0.135138431,6.104509834,1.03E-09,4.46E-08,yes
AT1G66090,108.8644784,2.320217655,0.380264416,6.101590247,1.05E-09,4.52E-08,yes
AT3G25860,2271.956587,-0.222530899,0.036470867,-6.101607029,1.05E-09,4.52E-08,yes
