"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G09180",28.7501272963039,-2.47880264712961,0.500668744944179,-4.95098340401892,7.3839401077493e-07,9.76380889416265e-05
"AT1G60500",16.1447637539404,-5.98100238560777,1.20782751094742,-4.95186798727268,7.35044637930444e-07,9.76380889416265e-05
"AT5G07165",91.4241544558198,-6.6213312945969,1.33851357512429,-4.9467793361618,7.54514251838148e-07,9.92123013715894e-05
"AT4G30130",51.0355287002794,0.782001432833237,0.158371959958354,4.9377518156552,7.90283265735697e-07,0.000103338317920117
"AT5G01970",169.447749670072,-0.876118081979696,0.178051825120831,-4.92057905828899,8.6288535851343e-07,0.000112208467863705
"AT1G17960",38.3254066099475,-2.24812713623392,0.457431009533496,-4.91468022363994,8.89274879217615e-07,0.000115004740835962
"AT3G01590",407.868385646912,-0.951549509274787,0.19386440374305,-4.90832505040988,9.18575192360915e-07,0.000118144832254639
"AT2G23150",334.14542650785,-1.7818532588725,0.363424027096655,-4.90295942485553,9.44034896194438e-07,0.00012075950734635
"AT3G01600",215.471927955302,-2.88752225928623,0.589551574245032,-4.89782808736272,9.69017539512299e-07,0.000123285220689195
"AT4G36600",9.7799514205652,-4.35244412356473,0.890586108430321,-4.88716821693526,1.02296685367947e-06,0.000129449305564804
"AT5G41160",17.1463524252005,-1.65541398001604,0.339254979534856,-4.87955691110486,1.06324439955042e-06,0.000133826649370151
"AT4G31180",1700.44060849423,-0.646782583844117,0.132687973490777,-4.87446274766624,1.09104970552228e-06,0.000136595941057861
"AT4G13370",277.204045087001,-1.86105799801001,0.381959683397907,-4.87239381249368,1.10254118364556e-06,0.000137304295446908
"AT5G44310",12.0677399329621,-4.66831931228749,0.95832184191027,-4.87134812974929,1.1083934375948e-06,0.000137306612319309
"AT4G19670",505.15747261891,-0.751040843766676,0.154305341937671,-4.86723812886561,1.13168638535166e-06,0.000139458128021058
"AT3G51290",137.123484489609,0.940812157509086,0.193439004771728,4.86361144495814,1.15263078223277e-06,0.000141299326674025
"AT3G59330",43.3440131322405,-1.34694866448871,0.277323439284544,-4.85695932505257,1.19202068428442e-06,0.000145370937025919
"AT5G00825",3.189597565381,-4.68728833248554,0.965956430393418,-4.85248421668096,1.21924490023324e-06,0.000147924573282421
"AT5G51585",35.2747796135846,-3.96659413630102,0.817979746258475,-4.84925715391443,1.23924681770114e-06,0.000149580268452471
"AT5G66270",75.3956874344421,-1.43524920953459,0.296378410746152,-4.84262401543101,1.28135610914769e-06,0.000153873871127598
"AT2G36910",1752.84250106933,-0.96555442761785,0.199780368277658,-4.83307962610174,1.34436983676149e-06,0.00015981026690836
"AT3G56920",8.38932124628303,-6.03689681783195,1.24901585004911,-4.83332282580287,1.34272781238364e-06,0.00015981026690836
"AT3G59320",99.9799562601901,-0.891760659090953,0.184596199848423,-4.83087224885021,1.35936208163567e-06,0.000160780428720898
"AT3G28210",128.208418392773,-2.18148049229543,0.45212682892114,-4.82493042383892,1.40052149641351e-06,0.000164820372305424
"AT3G63430",63.9539251269193,0.995802794904162,0.206744566693409,4.81658507805374,1.4603591479226e-06,0.000171007329674897
"AT4G26640",409.048083679842,-0.470057296602369,0.0976116719060352,-4.81558493388849,1.46769319063016e-06,0.000171015319939912
"AT1G05710",179.124817890067,-1.08400177144638,0.225154001078304,-4.81449037660843,1.47576014873937e-06,0.000171108209955067
"AT3G21610",233.565005787023,-0.846964669288569,0.176133527316273,-4.80865103988818,1.51952196013481e-06,0.000175318570469083
"AT5G20000",854.702585550818,-1.14387380064704,0.237952712086492,-4.80714756565271,1.53098986236387e-06,0.000175780040929065
"AT3G02210",96.959297594443,0.6186314736213,0.128846725899379,4.80129758286922,1.57640802745207e-06,0.000180116095835628
"AT1G64440",265.315995223176,-0.615712424384871,0.128267144570783,-4.8002349038424,1.58479630402135e-06,0.000180199761390099
"AT3G53280",389.102935023935,-1.03046299225282,0.215145129314986,-4.78961803845513,1.67099080359737e-06,0.000189087069924381
"AT5G50010",73.1417722026952,0.761931012324154,0.159804554615286,4.76789296874817,1.86162633414574e-06,0.000209651191515733
"AT1G49050",407.916529928231,-1.61237131614863,0.338288374393488,-4.76626286386407,1.87674378919047e-06,0.000209856914098677
"AT3G06130",360.08556287735,0.647342817077112,0.135831576375278,4.76577563444174,1.88128516271491e-06,0.000209856914098677
"AT4G13020",572.105519276763,-0.650544909788282,0.136853977812124,-4.75356960892552,1.99856250997694e-06,0.000220845848813743
"AT4G26470",78.7054458586021,-0.948382948275101,0.199486279677456,-4.75412619759371,1.9930652171852e-06,0.000220845848813743
"AT2G39650",133.640362619222,-1.59068941514573,0.334998851631343,-4.74834288953398,2.05090115100104e-06,0.000224521211121449
"AT4G35000",2070.93021303038,-0.442322155256852,0.0931470491019592,-4.74864377907114,2.04785276355108e-06,0.000224521211121449
"AT5G11410",37.0164289414499,-2.4286528221801,0.512350349027357,-4.74021892790869,2.13487417467375e-06,0.000232632099302297
"AT2G28490",6.78479117047267,-4.73375435917875,0.998840941229747,-4.73924742547164,2.1451343841335e-06,0.000232672940089172
