,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT1G64620,125.3928927,-1.169036757,0.198368957,-5.89324446,3.79E-09,9.60E-07,yes
AT1G12480,94.40831338,-2.358589532,0.401127888,-5.879894178,4.11E-09,1.01E-06,yes
AT1G28470,52.31003477,-1.248227305,0.212278453,-5.880141332,4.10E-09,1.01E-06,yes
AT5G42210,56.40312194,-1.685187542,0.286465745,-5.882684302,4.04E-09,1.01E-06,yes
AT5G20930,310.8670016,-1.222623153,0.208339462,-5.868418494,4.40E-09,1.07E-06,yes
AT1G03440,383.9909544,-1.275230299,0.217637749,-5.859416885,4.64E-09,1.12E-06,yes
AT5G07620,86.17221966,-2.001663614,0.341995361,-5.852896972,4.83E-09,1.15E-06,yes
AT5G67360,4149.028847,-1.160478176,0.198730047,-5.839470133,5.24E-09,1.23E-06,yes
AT5G51740,222.3896502,-1.3148567,0.225446758,-5.832227146,5.47E-09,1.28E-06,yes
AT4G35030,211.9621071,-1.585897668,0.272065512,-5.829102183,5.57E-09,1.29E-06,yes
AT3G12510,78.48550133,-1.985226854,0.341110051,-5.819901371,5.89E-09,1.35E-06,yes
AT3G02670,16.39032718,-3.32334298,0.571628193,-5.813819227,6.11E-09,1.38E-06,yes
AT3G20490,232.4119475,-1.791947608,0.308669783,-5.805387202,6.42E-09,1.44E-06,yes
AT1G20120,26.81502743,-2.899768086,0.499819354,-5.801632259,6.57E-09,1.46E-06,yes
AT1G12020,210.598613,-1.128488784,0.194913478,-5.789690885,7.05E-09,1.55E-06,yes
AT3G27070,22.76405764,-2.122045706,0.366953097,-5.782879954,7.34E-09,1.60E-06,yes
AT3G13380,281.9789216,-1.395898872,0.241799189,-5.772967545,7.79E-09,1.68E-06,yes
AT5G07790,134.430674,-1.244025224,0.216303601,-5.751292244,8.86E-09,1.90E-06,yes
AT5G51585,39.71629009,-3.887956305,0.67695046,-5.74333948,9.28E-09,1.97E-06,yes
AT1G67780,50.10131911,1.074675841,0.187194504,5.740958292,9.41E-09,1.98E-06,yes
AT5G40090,43.2017724,-1.655957381,0.288511892,-5.739650353,9.49E-09,1.98E-06,yes
AT2G34920,134.3252353,-1.417862821,0.248316181,-5.709909099,1.13E-08,2.33E-06,yes
AT4G28950,191.1551431,-2.264505168,0.396674797,-5.708719552,1.14E-08,2.33E-06,yes
AT1G78110,233.6286173,-1.17400089,0.206013902,-5.698648871,1.21E-08,2.45E-06,yes
AT5G49990,293.657622,-1.416933805,0.248719078,-5.69692448,1.22E-08,2.46E-06,yes
AT5G02220,55.98795506,-2.52037496,0.442734125,-5.69275061,1.25E-08,2.50E-06,yes
AT2G21790,2214.178374,-1.675155649,0.294768792,-5.682947779,1.32E-08,2.62E-06,yes
AT4G24580,79.45227374,-1.46730405,0.258240143,-5.681936332,1.33E-08,2.62E-06,yes
